Episode: 204, Total Reward: 0, Total Loss: 0.0
Episode: 205, Total Reward: 10, Total Loss: 0.9452462196350098
Episode: 206, Total Reward: 2, Total Loss: -0.4177207946777344
Episode: 207, Total Reward: 6, Total Loss: -0.33122682571411133
Episode: 208, Total Reward: 5, Total Loss: 0.7717714309692383
Episode: 209, Total Reward: 4, Total Loss: -0.24262166023254395
Episode: 210, Total Reward: 0, Total Loss: 0.0
Episode: 211, Total Reward: 0, Total Loss: 0.0
Episode: 212, Total Reward: 7, Total Loss: 0.13406282663345337
Episode: 213, Total Reward: 0, Total Loss: 0.0
Episode: 214, Total Reward: 7, Total Loss: -0.08704662322998047
Episode: 215, Total Reward: 4, Total Loss: -0.16924357414245605
Episode: 216, Total Reward: 0, Total Loss: 0.0
Episode: 217, Total Reward: 5, Total Loss: -0.4321258068084717
Episode: 218, Total Reward: 13, Total Loss: 0.5526714324951172
Episode: 219, Total Reward: 7, Total Loss: -0.2498457431793213
Episode: 220, Total Reward: 4, Total Loss: -0.37092161178588867
Episode: 221, Total Reward: 5, Total Loss: -0.051849365234375
Episode: 222, Total Reward: 8, Total Loss: -0.23758935928344727
Episode: 223, Total Reward: 4, Total Loss: -0.42659425735473633
Episode: 224, Total Reward: 7, Total Loss: -0.21680140495300293
Episode: 225, Total Reward: 5, Total Loss: -0.39987993240356445
Episode: 226, Total Reward: 11, Total Loss: -0.09706389904022217
Episode: 227, Total Reward: 9, Total Loss: -0.2548832893371582
Episode: 228, Total Reward: 5, Total Loss: -0.1853339672088623
Episode: 229, Total Reward: 9, Total Loss: -0.6534068584442139
Episode: 230, Total Reward: 0, Total Loss: 0.0
Episode: 231, Total Reward: 7, Total Loss: -0.4489469528198242
Episode: 232, Total Reward: 0, Total Loss: 0.0
Episode: 233, Total Reward: 8, Total Loss: -0.3385462760925293
Episode: 234, Total Reward: 0, Total Loss: 0.0
Episode: 235, Total Reward: 5, Total Loss: -0.44901418685913086
